book bird rattle face ,ahhah look we can read books david
hand duck ,can you make it wiggle 
hand duck ,make it wiggle 
hand duck ,yeah 
hand duck ,yeah 
hand duck ,how about that 
hand duck ,you playing 
hand duck ,uh 
hand duck ,yeah mom doesnt need noise from the toys mom makes plenty of
hand duck ,you going to see how many of those you can get in that mouth 
hand duck ,mhmm is that good 
hand duck ,mhmm 
hand ,want to play peekaboo 
hand ,ahhah 
hand ,peekaboo 
hand ,whered mom go 
hand ,ahhah peekaboo 
hand ,theres mom 
hand ,theres mom 
hand ,are you trying to see what you can get all wet by drooling 
hand ,yeah 
hand ,are you drooling 
hand ,yes 
hand ,hi 
hand ,goodness 
hand ,yeah 
hand ,if we had more books wed read more books 
hand ,because we like books dont we 
hand ,yeah 
hand ,what other animals are there 
hand pig lamb ,ahhah theres a littler pig 
hand pig lamb ,and look heres a lamb 
hand pig lamb ,baa 
hand pig lamb ,baa says the lamb 
hand pig lamb ,uhhuh 
hand pig lamb ,davids got a hand 
hand pig lamb ,davids got a hand 
hand pig lamb ,bumpba 
hand pig lamb ,hi sweetie 
hand pig lamb ,yeah theres a lambie 
hand pig lamb ,and a little piggie 
hand pig pig ,look lets put the two piggies together 
hand pig pig ,this could be the mother piggie and the baby piggie 
hand pig pig ,two piggies 
hand pig pig ,one two 
hand pig pig ,yeah 
hand pig pig ,does that taste good 
hand pig pig ,is that a good hand 
hand pig pig ,mhmm 
hand pig pig ,uh mhmm yeah thats a good hand 
hand pig pig ,mhmm 
hand pig pig ,eat it up 
hand pig pig ,uh it squeaked 
hand pig pig ,did you hear it 
hand pig pig ,it squeaked ahhah 
hand pig pig ,it squeaked where you going 
hand pig pig ,you going to squirm right out i know yeah 
hand pig pig ,can we sit up pretty 
hand pig pig ,uhhuh 
hand pig pig ,yeah 
hand pig pig ,i know you you like to roll all over the floor so thats what we
hand pig pig ,yes youre okay in the chair 
hand duck ,uh i got a noisy one 
hand duck ,you want to hold that one 
hand duck ,in the chair 
hand duck ,yeah 
,i know youre going to inch your way right out 
,silly 
,oh lets sit back down 
,there we go 
bird ,oh boy 
bird ,how about back to bigbird 
bird ,oh mom got you sitting up almost too straight 
bird ,yes uhhuh 
bird ,here we go uh i know 
bird ,youre not much into sitting up in that chair anymore 
bird ,no 
bird ,theres bigbird
bird ,you like bigbird
bird ,theres bigbirds beak 
bird ,yeah wheres bigbirds eyes 
bird ,theres his eyes 
bird ,theres his eyes 
bird ,bigbird talks to you doesnt he 
bird ,yeah 
bird ,youre a drool boy today 
bird ,those teeth must be wanting to come in 
bird ,yeah 
bird ,what sweetie 
bird ,what you telling us 
bird ,ahhah you going to talk to bigbird 
bird ,tell bigbird a story 
bird ,uhuh 
bird ,okay 
bird ,yeah 
bird ,tell him some more 
bird ,tell bigbird more 
bird ,yeah youre telling mom 
bird ,get me out of that chair i dont like to sit up i like to lay down
bird ,uhhuh 
bird ,yeah 
bird ,is that bigbird 
bird ,do you like bigbird 
bird ,huh 
bird ,yes 
bird ,oh 
bird ,you want to tell bigbird all sorts of things arent you 
bird ,can momma see bigbird 
bird ,yeah theres bigbird 
bird ,yeah 
bird ,theres bigbird 
bird ,ahhah 
bird ,ahhah 
bird ,is bigbird getting david 
bird ,that fun 
bird rattle ,we have this at home you like that one 
bird rattle ,the bubbles or the beads go spinning around 
bird rattle ,can you make them spin 
bird rattle ,wow 
bird rattle ,you like bigbird better huh 
bird rattle ,yeah 
bird rattle ,what 
rattle ,hi there 
rattle ,hi there 
rattle ,oh yeah right in the mouth 
rattle ,it too big for the mouth though is it 
rattle ,yeah too big for the mouth 
rattle ,yeah 
rattle ,uhhuh 
rattle ,oh okay which one do you want different 
book ,want the book again 
book eyes ,does david want to read the book 
book eyes ,its a look and see book 
book eyes ,look at the eyes looking back at you 
book ,ahhah 
book ,you going to open it 
book ,yeah you going to eat it 
book eyes ,lets read the book you ready 
book eyes ,look and see 
book eyes bear ,ahhah look 
book eyes bear ,look at the big red nose 
book eyes bear ,and the smilie 
book eyes bear ,and a bear with a bottle 
book eyes bear ,you want to hold it 
book mirror kitty ,theres david 
book mirror kitty ,can you see david 
book mirror kitty ,look 
book mirror kitty ,see david in the mirror 
book mirror kitty ,yeah 
book mirror kitty ,oh yeah it tastes good doesnt 
book mirror kitty ,that book tastes much better than it is to read 
book kitty baby ,theres a kittycat 
book kitty baby ,the kittycat says meow meow 
book kitty baby ,yeah 
book kitty baby ,does the book taste good mmm 
book ,book tastes good 
book ,yeah 
book ,does the book taste good 
book ,lots of toys 
book ,lots of colors and toys 
book ,you want to sing some more 
book ,huh there are all these animals around we could probably we could sing old macdonald with the piggie
book pig cow ,momma never even showed you 
book pig cow ,thats a cow 
book pig cow ,whats a cow say 
book pig cow ,moo 
book pig cow ,do we look at the moocows when we drive sometimes 
book pig cow ,alison tells us when the horses are there and when the cows are
book pig cow ,huh 
book pig cow ,did you drop the book 
book pig cow ,you want the book back 
book pig cow ,theres the book 
book pig cow ,theres a moocow 
book pig cow ,and theres a piggie 
book pig cow ,oink oink 
book pig cow ,oink oink 
book pig cow ,yeah 
rattle ,you want to hold it 
rattle ,you want to do the rattle ahhah 
rattle ,oh thats good grip 
rattle ,good grip 
rattle ,let me see you do it 
rattle ,let me see you 
rattle ,that makes lots of noise dont it oh dont hit yourself in the nose 
rattle ,dont hit yourself in the nose 
rattle ,yeah 
rattle ,yeah 
rattle ,are you making music 
rattle ,are you making music 
rattle ,yeah 
rattle ,are you making music 
rattle book ,look at the book 
rattle book eyes ,look 
rattle book eyes ,look see 
rattle book eyes ,look see lets see 
rattle book eyes bear ,ahhah 
rattle book eyes bear ,what is that 
rattle book eyes bear ,is that another whats that baby have 
rattle book eyes bear ,whats that bear have 
rattle book eyes bear ,he got a bottle 
rattle book eyes bear ,yeah hes got a bottle 
rattle book mirror bunny ,ahhah oh 
rattle book mirror bunny ,whos that pretty baby 
rattle book mirror bunny ,whos that pretty baby 
rattle book mirror bunny ,can you see 
rattle book mirror bunny ,oh 
rattle book mirror bunny ,thats mots pretty baby isnt it 
rattle book mirror bunny ,thats mots pretty baby 
rattle book mirror bunny ,yes ahhah 
rattle book mirror bunny ,whats this 
rattle book mirror bunny ,is that a bunnyrabbit 
rattle book mirror bunny ,is that a bunnyrabbit 
rattle book mirror bunny ,huh is that a big bunnyrabbit 
rattle book baby kitty ,ahhah 
rattle book baby kitty ,whats the kitty 
rattle book baby kitty ,i think thats ambrose 
rattle book baby kitty ,is that ambrose 
rattle book baby kitty ,meow 
rattle book man woman girl boy ,is that old ambrose 
rattle book man woman girl boy ,oh who is that 
rattle book man woman girl boy ,is that another baby 
rattle book man woman girl boy ,is that another baby 
rattle book man woman girl boy ,yes it is 
rattle book man woman girl boy ,and 
rattle book man woman girl boy ,thats dada and mot 
rattle book man woman girl boy ,ahhah that can be courtney your big sister 
rattle book man woman girl boy ,and you 
rattle book ,hey 
rattle ,let me see 
sheep ,let me see 
sheep ,what else is in here 
sheep ,ahhah oh thats a little sheep 
sheep ,you want the little sheep 
sheep ,you want the sheep 
sheep ,baa 
sheep ,you want to get the little sheep 
sheep ,can you get him 
sheep ,can you get the sheep 
sheep ,huh 
sheep ,yeah 
sheep ,is he cute 
cow ,what else is in here 
cow ,oh thats a moocow 
cow ,moo 
cow ,thats the moocow 
cow ,the moocow will get you 
cow ,the moocow will get you 
cow ,yes yes 
cow ,yes you going to laugh for mot 
cow ,are you going to laugh 
cow ,yeah you like to laugh 
cow ,yeah 
cow ,you laugh when you bit your big sister your big sister can always
cow ,she can always make you laugh 
cow ,boo 
cow ,ahhah is that funny 
cow ,is that funny 
cow ,yeah you think thats funny dont you 
,hey what else we got in here 
pig ,its a pig 
pig ,its a pig 
pig ,oink 
pig ,oink 
pig ,is that funny 
pig ,is that funny 
pig ,as grandma does 
pig ,what does grandma do 
pig ,what does grandma do she says 
pig ,here comes the bumblebee the bumblebee the bumble bzz 
pig ,yeah 
pig ,bzz it gets you 
pig ,yeah 
pig ,it does 
pig ,it gets you 
pig ,ahhah it gets you 
pig ,yes 
rattle ,hey 
rattle ,want to make some more noise 
rattle ,huh 
rattle ,want to make some more noise 
rattle ,look at the ball 
rattle ,you see the balls going round 
rattle ,the balls going round 
rattle ,yeah 
rattle ,here 
rattle ,grab 
rattle ,what are you going to be 
rattle ,you going to be right handed or left handed 
rattle ,you dont know 
rattle ,say i dont know
rattle ,i dont know 
rattle ,oh 
rattle ,are you going to be my drummer 
rattle ,are you going to be my little drummer 
rattle ,yes 
rattle ,yes 
rattle duck ,what else we got in here oh rolypoly 
rattle duck ,oh this makes noise too 
rattle duck ,what is that 
rattle duck ,is that a big bird 
rattle duck ,is that a big one 
rattle duck ,yeah 
rattle duck ,oh 
rattle duck ,dododo 
rattle duck ,dododo 
rattle duck ,dododo
rattle duck ,let me see you get those feet going 
rattle duck ,let me see 
rattle duck ,like when you go in the pool 
rattle duck ,we going to go in the pool today 
rattle duck ,look up here 
rattle duck ,look 
rattle duck ,are we going to go in the pool today 
rattle duck ,go in the pool make big splashes 
rattle duck ,like last night 
rattle duck ,you made big splashes didnt you 
rattle duck ,you got the carpet in the bathroom all wet 
rattle duck ,yes you did 
rattle duck ,hey 
rattle duck ,look over here see the birdie 
rattle duck ,see the birdie 
rattle duck ,oh yes yes 
rattle duck ,i know 
rattle duck ,lets see 
rattle duck ,you want to hold the bird you want mot to hold this 
rattle duck ,huh 
rattle duck ,you want to hold the bird oh hes a funny bird isnt
rattle duck ,he makes noise 
rattle duck ,i think he goes rollie lets see 
rattle duck ,lets see how he goes on the floor 
rattle duck ,lets see is he a birdie that tips 
rattle duck ,oh look hes a rolypoly bird 
rattle duck ,look he cant fall over 
rattle duck ,hes not falling over 
rattle duck ,no 
rattle cow ,heres the moocow 
rattle pig cow ,heres the moocow 
rattle pig cow ,heres moocow 
rattle duck pig cow ,oh we can put the pig over here 
rattle pig cow ,are you going to hit the pig 
rattle pig cow ,oh are you going to knock the pig over 
rattle pig cow ,dont knock the pig over 
rattle pig ,oh there went the cow 
rattle pig ,there went the cow 
rattle pig ,oh there went the pig
rattle cow ,there went the cow 
rattle pig cow ,there we go 
rattle pig cow ,choo choo 
rattle pig cow ,you want to hold the pig 
rattle pig cow ,whats the pig say
rattle pig cow ,oink oink 
rattle pig cow ,oink oink 
rattle pig cow ,you got the pig
rattle pig cow ,can you get
pig cow ,too much in your hands 
pig cow ,get the piggie 
pig cow ,get the piggie 
pig cow ,yes 
pig cow ,yes 
pig cow ring ,oh 
pig cow ring ,yes 
pig cow ring ,what else we got 
pig cow ring ,oh you have 
pig cow ring ,we have these at grandmas 
pig cow ring ,grandma has these doesnt she 
pig cow ring ,she has the big rings 
pig cow ring ,doesnt she 
pig cow ring ,yes 
pig cow ring ,you want to make a bracelet 
pig cow ring ,you want to make a bracelet 
pig cow ring ,hmm 
pig cow ring ,can you get that 
pig cow ring ,what you going to do with that 
pig ring ,maybe the pig
pig ring ,the pig
pig ring ,put the pig in there 
pig ring ,is that blue 
pig ring ,thats blue 
pig ring ,what colors this 
pig ring ,is that green 
pig ring ,green you going to get the green one too 
pig ring ,yes 
pig ring ,i can put the yellow one on your foot 
ring ,put the yellow one on your foots 
ring ,ahhah oh boy you knocked it off 
ring ,you knocked it off 
ring ,choo 
ring ,choo 
ring ,knock them together 
ring ,knock them together like this 
ring ,choo 
ring ,let me see you do that 
ring ,huh 
ring ,yeah thats good thats good 
ring ,thats good 
ring ,you want to trade 
ring ,you like knocking them together dont you 
ring ,you like knocking them together dont you 
ring ,you want to trade 
ring ,you take the yellow one 
ring ,you want the yellow one 
ring ,mot has the green one 
ring ,yeah 
ring ,yeah 
ring ,here lets see 
ring ,can you put it on the ring 
ring ,can you put it on the ring 
ring ,let me see you put it try to put it on the ring 
ring ,oh you just going to take it 
ring ,are you going to take it 
ring ,huh 
ring ,lets see 
ring ,hey look look 
ring ,look up here 
ring ,lets go 
ring ,watch 
ring ,boo 
ring ,what color goes next 
ring , look 
ring ,oh do you want that ring back 
ring ,you took my ring mot 
ring ,you want it back 
ring ,you want it backs 
ring ,there you go 
ring ,there you go 
ring ,ahhah 
ring ,oh are y ou going are you going to chew on it 
ring ,are you going to chew on its 
ring ,yes yes 
ring ,oh lets sit you up sit you up 
ring ,yeah 
ring ,hey 
ring ,hey 
ring ,let me have that 
ring ,let me have that 
ring ,let me have that 
ring hat ,ahhah whats this 
ring hat ,what does mot look like with the hat on 
ring hat ,do i look pretty good with the hat on 
ring hat ,hmm 
ring hat ,hmm 
ring hat ,do i look pretty good
ring hat ,peekaboo 
ring hat ,peekaboo 
ring hat ,peekaboo 
ring hat ,ahhah 
ring hat ,ahhah 
ring hat ,whos this on the hat 
ring hat ,i think this is oh thats minniemouse 
ring hat ,do you see minniemouse 
ring hat ,yes you see minniemouse 
ring hat ,hey 
ring hat ,oh get that ring 
ring hat ,get that ring 
ring hat ,get it 
ring hat ,let me see you grab it 
ring hat ,let me see you grab 
ring hat ,ahhah 
ring hat ,hey 
ring hat ,let me see you grab it 
ring hat ,reach for it 
ring hat ,come on 
ring hat ,reach for it 
ring hat ,reach for it which one do you want you want the green one here 
ring hat ,here 
ring hat ,reach for the ring 
ring hat ,can you get it 
ring hat ,there you go 
ring hat ,good girl 
ring ,thats a good girl 
ring ,thats a good girl 
ring ,you want the blue one 
ring ,you want the blue one 
ring ,can you reach for it 
ring ,can you reach for the blue one 
ring ,huh 
ring ,ahhah what are you doing 
ring ,ahhah what are you doing 
ring ,what if i put it on your head 
ring ,do you know where it is 
ring ,do you know where it went 
ring ,where did it go 
ring ,you dont know 
ring ,its on your head 
ring ,it was on your head 
ring ,ahhah oh 
ring ,no 
ring ,what if someone else wants to play with those and youll have your
ring ,youll have your baby drool on them 
ring ,yeah 
ring ,hey 
ring duck ,heres the birdie 
ring duck ,here the birdie 
ring duck ,does the bird go up 
